"","name","price","rating"
"1","Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, Launched in April 2022 (Magico Black)","1,999","4.1 out of 5 stars"
"2","OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","24,999","4.3 out of 5 stars"
"3","Oneplus Bullets Wireless Z Bass Edition Bluetooth in Ear Earphones with mic, Launched in April 2021 (Black)","1,999","4.2 out of 5 stars"
"4","OnePlus Nord CE 2 5G (Gray Mirror, 8GB RAM, 128GB Storage)","24,999","4.3 out of 5 stars"
"5","OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","19,999","4.0 out of 5 stars"
"6","OnePlus Nord Buds |True Wireless Earbuds| 12.4mm Titanium Drivers | Playback:Up to 30hr case | 4-Mic Design + AI Noise Cancellation| IP55 Rating |Fast Charging: 10min for 5hr Playback (Black Slate)||","2,799","4.3 out of 5 stars"
"7","Oneplus Bullets Bluetooth Wireless in Ear Z2 Earphones with Mic, Bombastic Bass, 12.4 Mm Drivers, 10 Mins Charge, 20 Hrs Music, 30 Hrs Battery Life, Launched in April 2022 (Beam Blue)","1,999","4.1 out of 5 stars"
"8","OnePlus Nord CE 2 Lite 5G (Blue Tide, 8GB RAM, 128GB Storage)","21,999","4.0 out of 5 stars"
"9","Oneplus Bullets Wireless Z Bass Edition Bluetooth in Ear Earphones with mic, Launched in October 2020 (Reverb Red)","1,999","4.3 out of 5 stars"
"10","OnePlus Buds Z2 | Obsidian Black | Truly Wireless Earbuds | Active Noise Cancellation","4,999","4.3 out of 5 stars"
"11","OnePlus Nord CE 2 Lite 5G (Black Dusk, 8GB RAM, 128GB Storage)","21,999","4.0 out of 5 stars"
"12","OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","29,999","4.3 out of 5 stars"
"13","OnePlus Nord Buds |True Wireless Earbuds| 12.4mm Titanium Drivers | Playback:Up to 30hr case | 4-Mic Design + AI Noise Cancellation| IP55 Rating |Fast Charging: 10min for 5hr playback (White Marble)||","2,799","4.3 out of 5 stars"
"14","OnePlus Nord CE 2 5G (Bahamas Blue, 6GB RAM, 128GB Storage)","23,999","4.3 out of 5 stars"
"15","OnePlus 9RT 5G (Hacker Black, 12GB RAM, 256GB Storage)+Alexa hands-free capable","46,999","4.3 out of 5 stars"
"16","OnePlus Nord CE 2 5G (Gray Mirror, 6GB RAM, 128GB Storage)","23,999","4.3 out of 5 stars"
"17","OnePlus Smart Band: 13 Exercise Modes, Blood Oxygen Saturation (SpO2), Heart Rate & Sleep Tracking, 5ATM+Water & Dust Resistant( Android & iOS Compatible)","1,599","4.2 out of 5 stars"
"18","OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black) (2022 Model)","29,999","4.2 out of 5 stars"
"19","OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black) (2022 Model)","16,499","4.2 out of 5 stars"
"20","Oneplus Buds Pro Bluetooth Truly Wireless in Ear Earbuds with mic (Matte Black)","9,999","4.4 out of 5 stars"
"21","OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model)","14,999","4.2 out of 5 stars"
"22","OnePlus 10R 5G (Sierra Black, 8GB RAM, 128GB Storage, 80W SuperVOOC)","38,999","3.9 out of 5 stars"
"23","OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)","38,999","3.9 out of 5 stars"
"24","OnePlus 10R 5G (Forest Green, 12GB RAM, 256GB Storage, 80W SuperVOOC)","42,999","3.9 out of 5 stars"
